# Temperature	Lambda (erg cm3/s)	Np	Ne	L (erg/cm3/s)	H (erg/cm3/s)	Top Cooler	Cfrac	Top Heater	Hfrac
1.00000e+02	6.06378e-25	9.99540e+00	1.16413e+01	7.05900e-23	8.60660e-21	O  3 883300.0	0.3749554	H  1	0.9126194 
1.25893e+02	8.46174e-25	9.99540e+00	1.16439e+01	9.85280e-23	7.46110e-21	N  3 572100.0	0.4126785	H  1	0.9134391 
1.58489e+02	1.11586e-24	9.99770e+00	1.16439e+01	1.29930e-22	6.46450e-21	N  3 572100.0	0.4422836	H  1	0.9140543 
1.99526e+02	1.39188e-24	9.99770e+00	1.16439e+01	1.62070e-22	5.59740e-21	N  3 572100.0	0.4595690	H  1	0.9145415 
2.51189e+02	1.65442e-24	9.99770e+00	1.16439e+01	1.92640e-22	4.84310e-21	N  3 572100.0	0.4681267	H  1	0.9149421 
3.16228e+02	1.89025e-24	9.99770e+00	1.16439e+01	2.20100e-22	4.18730e-21	N  3 572100.0	0.4702040	H  1	0.9152641 
3.98107e+02	2.09245e-24	9.99770e+00	1.16466e+01	2.43700e-22	3.61750e-21	N  3 572100.0	0.4673170	H  1	0.9154943 
5.01187e+02	2.25920e-24	9.99770e+00	1.16466e+01	2.63120e-22	3.12290e-21	N  3 572100.0	0.4607530	H  1	0.9155897 
6.30957e+02	2.38945e-24	9.99770e+00	1.16466e+01	2.78290e-22	2.69390e-21	N  3 572100.0	0.4515412	H  1	0.9155008 
7.94328e+02	2.48424e-24	1.00000e+01	1.16466e+01	2.89330e-22	2.32210e-21	N  3 572100.0	0.4406281	H  1	0.9151974 
1.00000e+03	2.54554e-24	1.00000e+01	1.16466e+01	2.96470e-22	1.99990e-21	N  3 572100.0	0.4288025	H  1	0.9147085 
1.25893e+03	2.57749e-24	1.00000e+01	1.16466e+01	3.00190e-22	1.72090e-21	N  3 572100.0	0.4165945	H  1	0.9141115 
