#index	label	wavelength	comment
0	zero            0 		null placeholder
1	Unit      1.00000A		unit integration placeholder
2	UntD      1.00000A		unit integration placeholder
####	general properties...................
4	TOTL      4861.36A		H I Balmer beta predicted by model atom 
5	TOTL      1215.68A		H I Lya predicted from model atom 
6	Inci            0 		total luminosity in incident continuum
7	TotH            0 		total heating, all forms, information since individuals added later 
8	TotC            0 		total cooling, all forms, information since individuals added later 
9	BFH1            0 		hydrogen photoionization heating, ground state only 
10	BFHx            0 		net hydrogen photoionization heating less rec cooling, all excited states normally zero, positive if excited states are net heating 
11	Line            0 		heating due to induced lines absorption of continuum 
12	BFHe            0 		total helium photoionization heating, all stages 
13	TotM            0 		total heavy element photoionization heating, all stages 
14	pair            0 		heating due to pair production 
15	Cbnd            0 		heating due to bound compton scattering 
16	ComH            0 		Compton heating 
17	ComC            0 		total Compton cooling 
18	advC            0 		cooling due to advection 
19	advH            0 		heating due to advection 
20	CT H            0 		heating due to charge transfer 
21	CT C            0 		cooling due to charge transfer 
22	CR H            0 		cosmic ray heating 
23	extH            0 		extra heat added to this zone, from HEXTRA command 
24	extC            0 		extra cooling added to this zone, from CEXTRA command 
25	e-e+      0.024270A		511keV annihilation line 
26	Expn            0 		expansion cooling, only non-zero for wind 
27	H FB            0 		H radiative recombination cooling 
28	HFBc            0 		net free-bound cooling 
29	HFBh            0 		net free-bound heating 
30	Hind            0 		cooling due to induced rec of hydrogen 
31	Cycn            0 		cyclotron cooling 
32	H2O             0 		net cooling due to database species
33	H2O             0 		net cooling due to database species
34	NO              0 		net cooling due to database species
35	H3O+            0 		net cooling due to database species
36	H3O+            0 		net cooling due to database species
37	NH3             0 		net cooling due to database species
38	NH3             0 		net cooling due to database species
39	CH3OH           0 		net cooling due to database species
40	OH              0 		net cooling due to database species
41	H2CO            0 		net cooling due to database species
42	H2CO            0 		net cooling due to database species
43	HNC             0 		net cooling due to database species
44	HCN             0 		net cooling due to database species
45	HCS+            0 		net cooling due to database species
46	N2H+            0 		net cooling due to database species
47	HCO+            0 		net cooling due to database species
48	SiC2            0 		net cooling due to database species
49	SO2             0 		net cooling due to database species
50	OCS             0 		net cooling due to database species
51	HCl             0 		net cooling due to database species
52	CS              0 		net cooling due to database species
53	HC3N            0 		net cooling due to database species
54	SO              0 		net cooling due to database species
55	SiO             0 		net cooling due to database species
56	CO              0 		net cooling due to database species
57	^13CO           0 		net cooling due to database species
58	CN              0 		net cooling due to database species
59	O2              0 		net cooling due to database species
60	Al 1            0 		net cooling due to database species
61	Al 3            0 		net cooling due to database species
62	Al 4            0 		net cooling due to database species
63	Al 6            0 		net cooling due to database species
64	Ar 1            0 		net cooling due to database species
65	Ar 2            0 		net cooling due to database species
66	Ar 3            0 		net cooling due to database species
67	Ar 4            0 		net cooling due to database species
68	Ar 5            0 		net cooling due to database species
69	Ar 6            0 		net cooling due to database species
70	B  1            0 		net cooling due to database species
71	B  2            0 		net cooling due to database species
